[dotenv@17.2.3] injecting env (17) from .env.local -- tip: ⚙️  enable debug logging with { debug: true }
🔍 Fetching all ringtone products from Stripe...
📦 Found 100 ringtone products

Product Name (without "Ringtone"),Release Date (DD/MM/YYYY)
"say it again",""
"distant sky",""
"Boundless Love",""
"whispers in the night",""
"where we used to be",""
"waiting on a heartbeat",""
"waiting for your heart",""
"Still Holding On",""
"Shadow of a Dream",""
"fading in your love",""
"Line Dance Fever",""
"jukebox jumpin",""
"My sweet Joyce",""
"The Heart of the Wild",""
"The call of the sea",""
"In this Perfect Night",""
"Beneath the Stars",""
"Winter Wonderland",""
"Magic in the Snow",""
"Electric Christmas Show",""
"Underneath the Christmas Lights",""
"Let the Bells Ring",""
"Dancing Into Forever",""
"Forever in Your Eyes",""
"With You By My Side",""
"Wind and Rain",""
"The Magic in the air",""
"Love Electric",""
"Amazing Life",""
"All night long",""
"fields of forever","08/12/2025"
"shine all night","08/12/2025"
"starlight serenade","08/12/2025"
"Paradise Again",""
"Electric Heartbeat",""
"New Year, New Me",""
"Countdown to Midnight",""
"stockings and saddle boots",""
"jingle bell rodeo",""
"starlight carol",""
"midnight sleigh ride",""
"glitter and ice",""
"November Fires",""
"Carve the Sky",""
"Bones of the Year",""
"the last november",""
"autumn skin",""
"Hollow Lights",""
"November Nights",""
"Whiskey & Walnut Pie",""
"Two-Step in November",""
"Frost on the Porch",""
"Runaway Flame",""
"Storms of Desire",""
"Edge of a Broken Dream",""
"Echoes of Forever",""
"When We Were Wild",""
"The Long Way Home",""
"Fall Apart Gracefully",""
"Tailgate Tonight",""
"Falling for Fall",""
"Corn Maze Kisses",""
"Sweater Weather Blues",""
"the road we make",""
"Open horizons",""
"echoes of yesterday",""
"Sweater Weather Love",""
"Cider & Vinyl",""
"Back to the Beat",""
"Under the Magnolia Moon",""
"Southern Lights",""
"Carolina Kisses",""
"Backyard Revival",""
"Mirrorball Queen",""
"Lose Control",""
"Flashback",""
"Come Down Slow",""
"shine in the struggle",""
"dust and diamonds",""
"diamonds in the dust",""
"fading glow",""
"Shot of Me",""
"Queen of Hearts",""
"Aces in My Boots",""
"Boots in the Dust",""
"Unstoppable",""
"take the leap",""
"stronger now",""
"skys the limit",""
"rise up",""
"Limitless",""
"forever bold",""
"edge of the world",""
"dare to dream",""
"chasing fire",""
"breaking chains",""
"heatwave high",""
"golden hour",""
"glow up",""
"cherry soda pop",""
